,Valeurs_Manquantes,Count (non nulles),Somme,Minimum,Maximum,Moyenne
magnesium_100g,4332381.0,96146.0,5713.697107711252,-0.000832671875,280.0,0.05942729918781075
zinc_100g,4333328.0,95199.0,1671.4110808021865,-9.739e-06,22.0,0.017557023506572407
copper_100g,4334816.0,93711.0,5072.113882849159,-3.3186875,9.97,0.05412506411039429
manganese_100g,4334742.0,93785.0,6441.199227242369,-8.71873775,45.0,0.06868048437641806
fluoride_100g,4427991.0,536.0,1.7170243476341391,0.0,0.504,0.003203403633645782
selenium_100g,4338304.0,90223.0,4472.743527204547,0.0,55.0,0.0495743161633347
chromium_100g,4428425.0,102.0,2.1651722979285726,0.0,1.76,0.021227179391456595
molybdenum_100g,4428413.0,114.0,74.62708138854993,0.0,25.7246376811594,0.6546235209521923
iodine_100g,4348982.0,79545.0,16347.051869424842,-9.144725,223.214285714286,0.2055069692554509
caffeine_100g,4414214.0,14313.0,2289.65816617404,0.0,946.0,0.15997052792384825
taurine_100g,4428469.0,58.0,56.916420977880456,0.0,33.0,0.9813176030669044
methylsulfonylmethane_100g,4428527.0,0.0,0.0,inf,-inf,
ph_100g,4428316.0,211.0,1060.4392358366272,0.0,13.0434782608696,5.025778368893968
fruits-vegetables-legumes_100g,4186322.0,242205.0,3212822.620872753,-3.33639705882354,13461.0,13.264889745763933
collagen-meat-protein-ratio_100g,4428366.0,161.0,2907.52,8.0,500.0,18.05913043478261
cocoa_100g,4425865.0,2662.0,148277.2573358933,0.0,800.0,55.701449036774335
chlorophyl_100g,4428525.0,2.0,4.859,2.183,2.676,2.4295
carbon-footprint_100g,4428391.0,136.0,39680.05096,0.0,2720.0,291.7650805882353
glycemic-index_100g,4428522.0,5.0,375.09999999999997,0.0,270.0,75.02
water-hardness_100g,4428522.0,5.0,10.94367058,0.00979118,10.8,2.188734116
choline_100g,4410318.0,18209.0,148.61345752628662,0.0,52.0,0.008161538663643617
phylloquinone_100g,4349685.0,78842.0,9644.725978047909,-8.49125,10.0,0.12232979855975126
beta-glucan_100g,4428496.0,31.0,100.02999999999999,0.4,5.4,3.2267741935483865
inositol_100g,4428505.0,22.0,0.47393416490486256,0.002,0.052,0.021542462041130115
carnitine_100g,4428508.0,19.0,0.3875166666666666,0.00095,0.177,0.020395614035087717
sulphate_100g,4428343.0,184.0,17.33736666666666,0.0,5.2,0.09422481884057968
nitrate_100g,4428375.0,152.0,4.160280999999998,0.0,2.0,0.02737026973684209
acidity_100g,4428513.0,14.0,49.488200000000006,0.0082,6.0,3.534871428571429
carbohydrates-total_100g,4427794.0,733.0,34970.5284053783,0.0,10000.0,47.70876999369482
